"","GTEX.117XS.0526.SM.5987Q","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11GSO.0626.SM.5A5LW","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.132NY.1026.SM.5P9IY","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.R55E.0826.SM.2TC5M","GTEX.TKQ1.0126.SM.33HB3","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000223972",3,0,1,6,0,3,5,1,3,1,2,3,8,1,7,7,1,5,1,7
"ENSG00000227232",511,663,802,640,544,426,656,1487,781,885,808,533,1388,837,730,1000,713,1023,534,732
"ENSG00000243485",1,0,1,4,0,1,1,1,0,1,1,1,1,1,0,2,2,4,3,1
"ENSG00000237613",4,0,0,3,3,1,1,2,2,0,4,0,1,0,1,5,0,3,0,1
"ENSG00000268020",0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,3,0,1,2,0
"ENSG00000240361",1,3,0,3,0,2,1,3,0,1,0,0,0,0,0,5,0,0,4,2
"ENSG00000186092",0,0,1,1,2,0,1,0,2,0,1,1,3,2,1,4,1,2,3,3
"ENSG00000238009",11,5,3,5,4,5,3,21,1,15,8,0,8,5,25,6,18,4,9,4
"ENSG00000233750",17,12,4,16,5,22,25,22,15,15,12,28,40,10,6,32,2,21,14,17
"ENSG00000237683",947,168,225,415,1129,316,719,2079,537,271,384,466,410,769,1565,652,511,635,158,63
"ENSG00000268903",4,0,0,0,5,3,3,5,2,1,5,1,2,4,10,2,4,1,2,0
"ENSG00000239906",12,0,5,4,17,14,3,44,5,5,9,1,23,12,16,9,8,3,1,0
"ENSG00000241860",125,19,93,66,35,26,59,109,104,46,133,35,190,97,80,61,70,42,29,20
"ENSG00000222623",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,1,0,0,1,1,0,0,0,1,3,0,0,1,1,0,0,1
"ENSG00000228463",27,57,22,18,45,36,62,85,11,20,9,43,29,90,72,55,7,76,31,10
"ENSG00000237094",23,36,22,26,49,48,20,14,86,40,64,16,100,42,17,62,63,21,8,51
"ENSG00000250575",3,0,6,1,3,4,2,3,5,3,7,1,2,3,3,5,1,1,4,0
"ENSG00000233653",5,5,3,7,2,6,4,5,6,3,9,8,17,1,4,12,5,7,7,11
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235249",2,0,1,0,0,1,0,1,1,1,0,0,1,1,2,7,1,0,3,0
"ENSG00000269732",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0
"ENSG00000256186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000236601",0,2,0,1,0,1,2,1,0,0,1,2,3,2,1,1,0,3,1,1
"ENSG00000236743",0,1,1,3,2,1,1,3,0,1,0,0,2,3,1,6,0,2,2,4
"ENSG00000236679",1,3,1,5,0,2,1,2,0,7,1,12,5,1,2,6,1,2,5,3
"ENSG00000231709",1,6,0,6,7,3,0,6,0,6,0,0,5,2,5,8,0,1,4,5
"ENSG00000235146",0,2,0,1,0,0,3,1,0,0,0,0,3,2,0,1,1,3,2,3
"ENSG00000239664",1,1,0,0,0,1,1,0,1,3,1,3,2,1,0,2,0,1,1,0
"ENSG00000230021",3,6,8,5,3,1,2,6,2,1,0,7,6,1,0,4,2,6,5,2
"ENSG00000223659",1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,6,0,1,0,1
"ENSG00000225972",55,59,45,137,33,98,16726,49,35,56,55,76,258,60,19,192,37,37289,57,73
"ENSG00000225630",9880,11972,4939,22629,6745,11291,8478,13137,13577,14188,6706,6664,26625,15829,10782,22596,6973,11562,12836,9712
"ENSG00000237973",517,780,297,3860,345,3170,99170,887,687,2635,811,376,4056,833,453,33288,347,242492,3738,12413
"ENSG00000229344",194,229,105,574,156,639,223,170,167,206,190,265,491,238,116,492,132,2493,260,288
"ENSG00000240409",60,66,17,136,46,86,124,44,43,32,60,52,132,30,23,69,26,218,103,114
"ENSG00000248527",20269,25187,9271,78315,24887,38607,58178,53867,57896,73952,24695,33250,63362,46221,31824,130067,7805,111725,38749,39069
"ENSG00000198744",323,235,114,809,187,290,806,327,192,1770,287,357,633,253,149,618,97,414,1813,291
"ENSG00000268663",0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,2,0,0,2
"ENSG00000185097",2,1,0,0,0,0,1,0,1,1,0,0,2,0,0,3,0,4,2,0
"ENSG00000229376",12,15,33,29,16,22,13,19,26,17,23,5,23,9,14,10,5,17,18,19
"ENSG00000224956",229,325,161,283,349,207,201,506,483,375,560,179,233,450,445,26,243,132,220,241
"ENSG00000235373",17,17,7,28,19,28,26,17,14,18,43,14,27,28,15,10,8,18,13,37
"ENSG00000223181",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000240618",4,4,5,8,4,14,8,5,1,6,5,1,15,7,2,0,0,0,2,3
"ENSG00000229905",3,0,0,0,2,2,0,1,0,0,1,0,1,0,0,2,1,0,1,0
"ENSG00000228327",113,87,88,110,114,231,93,126,163,225,163,44,177,135,81,47,56,110,67,150
"ENSG00000237491",64,221,134,175,97,174,117,196,242,159,102,92,245,227,170,277,64,118,98,96
"ENSG00000230092",13,16,12,18,15,17,16,36,21,29,10,13,47,16,11,10,15,10,13,18
"ENSG00000269831",0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
"ENSG00000240453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757",19,37,12,65,13,74,62,26,12,37,34,26,53,57,6,32,30,165,28,45
"ENSG00000225880",199,305,484,271,280,280,135,385,436,316,486,193,333,506,445,278,228,198,145,191
"ENSG00000228794",737,1412,802,1954,660,1115,1183,1227,951,1203,962,1088,2269,1347,1333,1156,897,1868,1154,1235
"ENSG00000230368",0,3,2,5,2,21,5,5,4,8,0,4,3,2,1,3,3,6,2,3
"ENSG00000234711",3,2,2,3,1,6,1,4,3,2,0,0,5,0,0,1,5,5,2,1
"ENSG00000269308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438",2,7,10,8,2,0,1,3,2,6,2,3,8,25,3,0,2,7,1,3
"ENSG00000230699",6,34,79,58,4,10,24,75,11,47,12,13,16,229,49,5,18,36,13,32
"ENSG00000241180",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000223764",85,470,136,247,39,15,133,305,153,209,46,119,89,722,187,90,340,157,123,279
"ENSG00000187634",259,934,1025,700,21,28,414,535,255,291,114,581,294,947,208,166,761,574,481,537
"ENSG00000268179",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000188976",2772,3544,4008,4600,3353,3859,2598,4856,3840,3568,3474,3175,6868,4645,4298,3769,2414,4889,3994,3489
"ENSG00000187961",679,696,2090,1355,635,495,571,1220,1011,967,1303,601,1241,1513,992,1353,656,902,916,654
"ENSG00000187583",90,100,88,77,40,38,41,156,95,47,124,25,141,210,111,59,124,47,87,117
"ENSG00000187642",44,48,41,32,5,29,48,60,25,13,57,18,53,73,63,46,77,17,35,63
"ENSG00000272512",101,387,179,107,44,29,266,88,114,46,71,216,109,608,60,99,246,305,105,249
"ENSG00000188290",693,531,361,387,250,182,741,561,647,447,386,547,319,1067,463,528,736,1072,629,449
"ENSG00000231702",1,2,9,7,1,1,4,10,4,4,4,1,1,1,0,0,4,2,3,4
"ENSG00000224969",5,4,71,10,0,1,8,5,2,5,0,2,4,9,8,8,4,5,5,2
"ENSG00000187608",570,842,1158,663,367,235,317,1069,2832,586,416,1372,489,971,641,803,834,790,734,593
"ENSG00000188157",13127,11613,24997,18902,34637,13202,12121,22658,20678,17932,14858,16294,21067,13906,24988,25081,9206,21429,23181,22961
"ENSG00000217801",129,94,193,70,103,58,87,272,171,99,97,112,95,187,228,187,106,146,78,37
"ENSG00000273443",6,5,8,3,2,3,0,5,3,0,6,2,5,6,1,1,0,10,5,5
"ENSG00000237330",3,7,0,7,3,2,3,0,8,2,4,7,7,3,0,4,1,8,2,7
"ENSG00000131591",1124,1458,738,1699,1830,1106,863,1889,1777,1472,1237,880,1988,2286,2022,1846,993,1205,1234,1397
"ENSG00000223823",4,1,1,1,1,1,3,6,1,3,1,5,6,4,0,4,4,6,4,2
"ENSG00000207730",0,0,1,2,1,2,0,1,0,3,0,0,2,0,0,0,1,2,0,0
"ENSG00000207607",1,0,2,1,1,2,0,0,1,0,0,0,0,4,0,0,1,3,0,0
"ENSG00000198976",0,1,3,2,0,4,1,1,0,1,0,0,2,0,0,2,0,3,3,1
"ENSG00000272141",137,156,362,511,550,445,290,476,345,510,225,274,539,356,292,1006,156,646,312,120
"ENSG00000205231",14,10,6,8,7,16,4,15,3,17,4,2,9,23,5,9,8,9,18,5
"ENSG00000162571",40,32,30,16,47,53,19,56,29,42,25,12,25,49,33,44,31,23,33,29
"ENSG00000186891",40,57,174,22,5,20,151,265,28,28,35,36,16,30,434,39,138,24,33,8
"ENSG00000186827",162,167,222,95,159,187,131,421,611,248,237,365,733,427,191,132,239,170,339,123
"ENSG00000078808",6853,7539,10319,10552,10198,6571,6746,11418,8662,9521,6221,8221,11375,7583,12678,14737,7007,15149,12640,9739
"ENSG00000176022",576,898,766,1432,1265,1091,1064,1692,1334,1588,538,1491,1471,926,1403,2659,817,1889,2066,1412
"ENSG00000184163",29,34,46,66,36,105,37,64,64,34,38,47,120,80,55,93,83,66,69,50
"ENSG00000260179",5,14,36,46,14,49,25,15,16,28,35,3,96,50,11,40,10,25,30,35
"ENSG00000160087",1585,1785,4746,3557,2150,2452,2208,2714,2873,3106,2477,1845,4670,2871,3557,4872,1664,3693,4037,2762
"ENSG00000230415",97,69,53,95,116,40,35,169,99,73,97,38,74,75,78,67,40,94,31,28
"ENSG00000162572",1071,881,1220,755,1686,404,436,1757,1124,972,1004,865,1258,1130,994,943,826,762,404,337
"ENSG00000131584",4487,5793,6448,7823,3969,2341,3593,6914,7904,5963,3471,4316,4980,8033,7556,8238,4347,4816,4892,4255
"ENSG00000169972",363,415,366,639,418,408,438,531,444,568,375,400,584,476,638,808,251,609,694,438
"ENSG00000127054",7439,7066,11440,10109,8721,7273,5871,11692,9204,8352,11384,5981,13683,11670,12007,10741,5965,8801,7501,7571
"ENSG00000240731",307,246,421,356,224,254,239,418,341,322,536,177,661,399,255,298,180,251,183,291
"ENSG00000224051",1059,1825,1651,1912,1876,1045,1120,1897,1616,1892,1158,1525,1546,1207,2995,2631,1230,2409,2655,1370
"ENSG00000169962",67,96,376,99,62,151,208,225,118,94,52,71,163,73,59,98,84,68,69,82
"ENSG00000107404",5033,5326,7907,7387,6442,4957,3820,7351,6669,5993,6731,5657,6825,7812,10155,8326,3969,6538,6467,5913
"ENSG00000162576",10474,12853,4614,11217,10995,6320,5424,10454,8112,11825,8029,12249,12093,15284,9338,10505,11482,9466,11056,8342
"ENSG00000175756",2457,3287,2877,4287,2782,3067,3018,3879,3920,3912,2415,2731,5072,3016,5738,7116,1996,6568,5886,3421
"ENSG00000223663",4,1,4,6,0,2,3,5,1,3,3,4,11,0,2,7,0,2,4,6
"ENSG00000221978",21391,25388,32229,29740,31983,23488,19326,40671,31935,21634,39301,16103,48556,57754,46449,25658,19475,21473,15993,23707
"ENSG00000224870",519,1137,801,1556,1295,1284,1024,1425,1215,1369,801,1066,1697,1237,1848,1494,647,1510,1373,1268
"ENSG00000242485",1565,2851,2369,3631,2220,2790,2694,2749,3269,3259,2040,2183,5682,2904,4256,4972,1562,5306,3686,3244
"ENSG00000272455",101,213,488,367,561,466,259,549,469,330,515,214,1009,401,479,484,127,187,377,321
"ENSG00000235098",245,384,166,379,62,110,184,1135,416,468,185,442,267,768,351,290,399,413,517,278
"ENSG00000225905",0,8,1,1,1,1,3,19,10,10,1,2,4,12,3,6,3,2,2,5
"ENSG00000205116",0,1,2,2,2,3,2,8,4,2,2,3,6,3,2,1,0,2,4,0
"ENSG00000225285",12,31,1,48,4,19,13,57,18,35,57,3,39,79,20,34,25,36,14,34
"ENSG00000179403",3720,5682,2192,9399,2672,1248,5093,9344,11412,10551,3344,6655,4034,15360,5897,8884,7280,14499,12292,6627
"ENSG00000215915",624,1025,945,769,1519,372,517,1377,1435,873,243,991,1179,1753,1621,1277,820,1259,767,542
"ENSG00000160072",1571,2014,2345,2743,1768,1309,1456,3157,3702,2589,3189,1419,3060,4094,3041,2765,1639,1984,1471,1829
"ENSG00000197785",954,1428,1043,1767,1061,1028,984,1656,1916,1659,1031,1347,1827,1715,2117,2385,803,1862,2195,1313
"ENSG00000205090",125,92,245,121,120,83,90,151,143,92,194,123,103,107,127,120,115,109,149,59
"ENSG00000160075",4071,5114,8536,8156,6804,6494,4772,6972,6798,6715,3931,5956,10384,5252,8932,12753,3612,9541,8104,7507
"ENSG00000215014",18,28,36,23,24,15,19,50,54,29,23,14,38,23,19,23,7,44,22,20
"ENSG00000236684",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"ENSG00000228594",536,360,481,169,946,164,235,994,1126,426,108,1408,299,328,847,659,576,357,614,167
"ENSG00000272106",980,1352,1088,1342,3217,1783,1144,2114,1666,1365,1153,1403,2785,1071,2292,2758,864,1822,1372,1434
"ENSG00000197530",5692,5260,10060,5602,6823,4701,4040,9521,7722,4910,6129,5141,5754,7281,7284,8226,4340,5525,5075,3771
"ENSG00000189409",36,84,51,9,16,2,10,28,37,13,24,42,14,43,22,6,39,34,27,18
"ENSG00000248333",1253,1808,2203,2436,1632,1849,1566,2258,1955,1828,1732,1719,3648,2628,2898,1976,1292,2358,1605,1731
"ENSG00000272004",0,0,1,2,1,0,0,1,0,2,0,0,4,0,0,5,0,0,2,1
"ENSG00000189339",3858,3750,10847,5597,4371,3099,2387,7843,5046,4020,6144,3377,9285,6329,6781,5665,2765,4131,3833,3718
"ENSG00000269737",110,105,89,200,44,133,90,162,197,199,205,29,367,160,57,91,94,134,90,294
"ENSG00000269227",25,32,13,61,9,29,33,44,34,58,53,11,82,22,17,43,22,26,34,86
"ENSG00000215914",1,25,18,5,22,14,17,24,33,23,23,6,50,23,47,39,3,19,31,5
"ENSG00000008128",1930,2421,4444,3321,1931,2393,1172,3783,3041,2226,3474,1776,6486,3861,3642,2253,1646,2370,2034,2318
"ENSG00000227775",699,563,710,574,493,415,338,1105,1186,1010,1255,357,835,820,659,492,459,556,645,440
"ENSG00000215790",354,174,417,379,233,214,130,461,339,380,308,220,414,346,334,223,181,246,183,270
"ENSG00000008130",3014,3193,6100,6161,2843,3566,3539,4449,4050,5061,5674,3519,7321,5381,6215,5193,2891,5185,5121,5108
"ENSG00000078369",10952,16209,14461,20228,11029,10679,10002,15169,13437,14922,10947,16200,22638,17615,21907,21490,12757,21090,18199,17396
"ENSG00000231050",37,30,16,28,44,15,13,71,44,51,44,16,43,29,60,55,17,40,16,23
"ENSG00000169885",75,85,37,27,105,19,40,88,75,36,43,52,55,131,73,67,54,32,25,29
"ENSG00000178821",33,44,52,39,8,44,34,75,16,19,25,45,52,11,51,44,41,72,22,22
"ENSG00000142609",13,9,17,8,11,9,5,7,24,19,11,2,10,9,5,4,15,10,7,3
"ENSG00000233542",6,11,3,4,22,4,2,20,8,10,13,12,11,14,24,6,16,0,6,8
"ENSG00000187730",69,61,39,62,194,38,25,293,130,89,40,52,122,220,53,30,254,60,102,34
"ENSG00000226969",3,3,0,5,11,5,3,2,7,7,2,0,4,7,15,14,5,5,7,11
"ENSG00000067606",1358,1395,1502,1915,4751,3861,1049,1843,2415,2804,1348,1801,3355,1289,2816,2632,792,3213,3213,3449
"ENSG00000271806",22,17,12,45,37,69,25,9,35,65,36,5,92,17,18,45,4,73,52,82
"ENSG00000182873",497,440,848,1001,494,1577,545,838,1126,1375,908,396,1936,598,443,1090,336,1132,740,1555
"ENSG00000162585",1717,2144,3781,2785,3462,1823,1955,3362,3589,2369,2561,1954,3052,2763,4547,6169,1709,3670,3488,2401
"ENSG00000269554",147,189,248,720,297,352,340,365,371,362,360,161,768,313,376,651,154,603,366,547
"ENSG00000203301",56,72,41,45,34,30,30,133,83,54,45,40,70,57,106,48,31,70,43,54
"ENSG00000234396",8,6,0,4,5,1,0,9,19,5,5,3,5,7,15,7,6,2,3,3
"ENSG00000157933",8610,9901,10460,9528,5693,5907,6712,9466,8769,7974,6755,8814,11086,9146,7599,7287,6911,9804,9500,9786
"ENSG00000116151",1241,827,587,636,1584,1357,827,1937,1041,900,1436,1040,1330,1118,898,709,644,811,590,757
"ENSG00000272161",36,20,27,15,18,23,12,47,48,21,22,29,34,34,18,33,28,16,32,13
"ENSG00000269753",89,42,27,33,32,22,26,87,118,38,47,24,114,19,16,36,33,34,22,40
"ENSG00000269896",376,318,800,298,325,186,190,563,761,271,427,313,484,440,367,495,252,356,249,165
"ENSG00000272420",12,33,28,60,43,31,30,67,72,78,34,7,85,75,41,110,26,20,20,26
"ENSG00000271921",8,6,8,8,2,3,5,5,14,5,3,4,6,8,8,16,4,18,6,10
"ENSG00000271847",12,15,22,24,11,9,8,29,78,25,9,38,62,22,32,55,14,27,13,21
"ENSG00000178642",64,62,61,92,56,100,50,61,50,30,33,43,133,44,63,104,39,77,60,78
"ENSG00000157916",4075,5927,8145,9682,5542,7435,5803,8718,8052,7804,6435,5324,12093,7636,9335,10948,4546,9646,8230,8082
"ENSG00000157911",457,747,519,930,1064,723,617,1108,946,891,523,709,942,961,1089,1162,465,1253,926,970
"ENSG00000149527",1175,1509,625,156,617,142,362,2809,4921,1747,285,606,515,658,624,502,1792,162,338,197
"ENSG00000224387",9,18,8,2,1,2,2,13,63,15,4,5,5,2,1,2,10,2,0,2
"ENSG00000229393",23,14,3,2,3,4,2,23,67,40,3,3,4,4,3,2,13,4,5,1
"ENSG00000157881",1225,1774,1811,2867,1525,1542,1486,2021,1850,2091,1984,1456,2382,1989,2568,2748,1394,2668,2477,1930
"ENSG00000197921",65,107,18,5,29,0,2,12,122,4,8,28,8,4,16,38,75,13,14,9
"ENSG00000272449",63,49,114,61,92,61,66,133,55,71,72,66,99,78,132,113,72,110,104,44
"ENSG00000238164",533,702,1143,431,1028,339,230,1870,964,666,720,515,742,1121,1548,605,696,289,220,300
"ENSG00000157873",3998,6953,4332,5016,5604,3121,2540,12190,7717,5570,4289,4074,5964,8951,9597,6717,5772,4724,2878,3029
"ENSG00000225931",14,13,17,13,4,10,0,29,17,3,12,4,3,44,2,1,24,3,2,0
"ENSG00000228037",11,30,92,29,8,19,1,50,22,19,18,20,12,40,13,10,28,14,8,5
"ENSG00000157870",822,981,1023,1684,1244,533,731,1780,1332,1478,673,1694,1556,2033,2074,2040,981,1153,1707,844
"ENSG00000142606",48,104,51,59,124,24,23,100,72,77,50,69,134,39,84,60,72,24,54,55
"ENSG00000237058",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000215912",35,49,8,44,109,49,55,113,150,80,44,26,129,42,48,55,45,80,57,42
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717",0,0,12,1,0,0,3,2,10,0,3,0,0,0,2,1,0,1,1,0
"ENSG00000177133",5096,4819,8867,5687,9320,2578,3458,8538,11467,6275,7791,3765,5408,4689,9663,7205,2541,4609,4426,3631
"ENSG00000142611",2755,2808,2549,5639,4682,2825,3802,4947,4593,4287,4634,3058,7592,3476,4989,4499,1790,4969,3681,4903
"ENSG00000226286",0,7,4,0,3,6,3,5,3,1,0,0,12,1,0,1,0,0,1,5
"ENSG00000272235",15,16,28,14,35,10,13,21,36,18,0,13,47,17,13,13,22,20,13,22
"ENSG00000130762",1999,1756,2314,2981,2671,1284,1360,2638,2972,2565,2836,1363,3052,2018,3754,3903,763,2320,3546,1670
"ENSG00000272088",9,12,29,14,6,36,3,11,11,5,6,16,36,6,4,29,5,10,13,9
"ENSG00000162591",2621,6049,2113,2495,1284,1882,1679,4053,2302,2554,2420,2125,4464,3670,3892,864,3959,2250,5861,7301
"ENSG00000207776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238260",30,70,339,50,48,29,24,183,175,69,80,56,60,209,125,100,105,21,36,30
"ENSG00000158109",2210,3321,3161,4664,3651,3719,2668,3783,2960,3976,2142,3771,6087,2894,5584,6020,2724,5754,5555,4033
"ENSG00000116213",1051,1260,1583,1608,1031,1071,978,2025,1703,1411,1098,1177,1600,1687,1690,1779,1045,1257,1390,1043
"ENSG00000078900",102,60,124,58,89,55,58,111,150,71,104,58,93,120,130,193,61,64,89,32
"ENSG00000227589",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"ENSG00000235131",0,0,2,0,0,1,1,0,2,2,0,1,1,0,0,2,0,1,0,0
"ENSG00000227372",3524,3060,5590,3899,5194,3505,2568,5759,5077,3474,5999,3058,5458,5223,4788,3790,2542,3548,3219,2990
"ENSG00000162592",4,7,4,1,3,1,1,8,4,6,2,4,2,0,0,0,1,7,0,1
"ENSG00000235169",169,258,107,101,317,229,132,311,353,199,184,189,217,79,378,407,108,374,244,195
"ENSG00000130764",2019,2634,3415,4611,3303,3367,2985,3986,2962,3917,2499,2960,7024,2526,3489,5615,1859,5362,4588,3706
"ENSG00000266075",4,9,19,10,5,8,12,17,10,7,11,11,17,5,5,13,12,2,9,10
"ENSG00000272153",32,47,111,133,24,75,62,127,75,81,103,54,210,72,50,99,37,87,51,71
"ENSG00000116198",1170,1754,4140,3080,2136,1984,1871,2159,2553,2117,2088,1520,3016,2015,2984,3037,1435,2359,2464,2046
"ENSG00000169598",427,415,1583,717,732,332,425,1083,897,574,615,594,838,1032,682,708,657,636,440,309
"ENSG00000198912",1379,1688,1419,2539,1278,1370,1111,1997,2146,1992,1430,1248,3666,1666,2179,2887,830,2018,1491,1839
"ENSG00000236423",5,5,135,6,10,8,0,15,8,11,0,4,12,4,5,47,6,18,9,19
"ENSG00000233304",0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ENSG00000226374",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000232596",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000196581",183,277,1035,177,165,122,257,549,98,117,236,96,511,391,190,99,128,341,172,324
"ENSG00000231510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697",2375,1920,3646,3364,5630,3018,2544,3376,2709,3091,2993,1808,4608,2969,3961,4225,1174,3301,3044,3779
"ENSG00000266687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000069424",904,980,978,1845,648,782,845,3074,925,1252,640,729,1955,1489,1593,890,1598,1609,1201,1151
"ENSG00000116254",41,85,30,42,22,43,25,50,26,75,42,7,75,126,101,34,48,14,43,64
"ENSG00000116251",13137,12143,18794,14759,17800,13111,9006,19686,11260,11597,10210,16746,18212,14967,27501,14751,14660,16525,13619,13889
"ENSG00000226944",29,41,16,17,54,27,15,50,26,32,29,24,85,10,67,55,8,33,15,16
"ENSG00000158286",2014,2532,3474,2346,2422,1327,2428,3712,2437,2075,2177,1690,4467,2304,2627,3895,1718,1754,1759,2055
"ENSG00000116237",2864,4517,3572,5827,3266,3202,3452,3834,4091,5030,2681,5250,6293,5298,5168,6734,3261,5569,6554,4338
"ENSG00000225077",2,0,1,0,0,4,0,8,5,0,0,2,1,4,0,0,0,0,0,1
"ENSG00000173673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158292",212,348,1831,605,40,230,345,685,314,242,334,1251,702,896,260,271,780,589,447,371
"ENSG00000097021",416,547,675,485,241,269,243,526,501,464,232,394,632,1334,500,728,466,591,561,320
"ENSG00000069812",4,7,2,10,2,1,0,2,0,8,2,3,9,41,0,1,2,4,6,4
"ENSG00000187017",21,30,34,18,4,5,11,32,28,15,16,16,18,21,14,14,25,10,10,10
"ENSG00000265392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215788",597,877,1863,434,527,333,324,2015,759,459,824,598,655,1366,597,479,921,438,441,145
"ENSG00000171680",1617,3344,1978,2200,2020,1267,1238,3797,1519,1595,2427,1592,2308,4099,1879,973,1714,1853,1667,844
"ENSG00000162408",600,869,1451,1906,948,1294,993,1522,1094,1590,1060,857,3014,1121,1222,2311,811,1693,1484,1293
"ENSG00000253022",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000229519",2,0,3,10,0,2,5,9,6,5,7,6,10,4,2,5,3,8,7,2
"ENSG00000173662",6,13,3,5,0,10,8,16,0,6,2,0,8,12,4,4,13,5,3,4
"ENSG00000204859",1296,1840,2208,2348,2160,1895,1562,2866,2582,2369,2372,1890,2866,2480,3021,2885,1617,1954,1950,1700
"ENSG00000162413",2877,1866,7924,5804,3409,5392,2361,4172,3185,4487,4006,3000,8416,4406,3989,5348,2076,5914,5316,4370
"ENSG00000116273",2257,948,2123,1371,1885,1904,1255,1390,1177,1192,1446,898,2091,1833,1846,1802,1203,1825,1244,1508
"ENSG00000041988",644,869,2079,1255,892,1047,782,1311,1104,1062,1060,818,1466,1198,1326,1648,759,1351,1189,839
"ENSG00000007923",910,1483,1929,2695,1439,1375,1142,1805,1526,1743,1147,1132,2725,1736,1536,1363,869,2230,1631,1754
"ENSG00000228750",71,4,11,15,4,10,9,44,58,21,11,20,20,3,2,33,12,12,12,13
"ENSG00000239166",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436",13,8,11,6,12,2,5,23,15,15,5,11,17,6,21,30,6,8,18,7
"ENSG00000171735",1583,1954,2360,1671,1652,1739,1139,1763,2215,1676,1956,1508,2605,1740,3353,3675,1581,2258,2210,1794
"ENSG00000227950",0,0,0,0,1,1,0,0,0,1,3,4,0,2,2,10,0,1,1,0
"ENSG00000237365",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
