"","GTEX.111VG.0526.SM.5N9BW","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11NV4.0626.SM.5N9BR","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.13NZ9.1126.SM.5MR37","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55E.0826.SM.2TC5M","GTEX.R55G.0726.SM.2TC6J","GTEX.TKQ1.0126.SM.33HB3","GTEX.YFC4.2626.SM.5P9FQ","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZYY3.1926.SM.5GZXS"
"ENSG00000271389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239699",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"ENSG00000242586",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242828",3,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,2,0,0
"ENSG00000242781",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000243694",0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
"ENSG00000242145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241593",0,5,5,6,2,6,1,5,0,6,5,0,7,0,0,18,2,2,2,1
"ENSG00000244281",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000114480",904,2756,1014,3096,970,1717,1467,1292,1170,2187,966,1506,1892,915,346,3543,1148,2956,1082,1435
"ENSG00000222389",0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0
"ENSG00000241319",0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,2,0
"ENSG00000240404",0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"ENSG00000242190",0,0,0,1,1,0,1,4,1,0,1,1,2,0,0,4,1,0,5,0
"ENSG00000242009",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241095",0,0,1,2,0,0,0,0,3,0,1,0,0,0,0,1,0,2,0,1
"ENSG00000242195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242641",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175161",35,268,94,74,23,54,178,39,119,108,38,10,135,122,18,69,30,94,127,114
"ENSG00000264084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241648",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000239519",0,3,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000243915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206538",3734,2508,879,1026,530,416,940,728,1324,1679,1050,500,1497,833,595,1023,826,327,3916,2551
"ENSG00000241293",2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000264119",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000083937",2329,3724,2569,3812,2268,3089,2473,3596,2660,5726,1896,2044,3258,2179,475,6023,3435,5660,2779,2808
"ENSG00000064835",0,5,12,12,0,5,4,4,11,2,3,5,2,0,1,2,7,4,2,0
"ENSG00000239829",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000240902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239572",5,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2
"ENSG00000200703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000179097",113,71,21,32,57,6,12,40,58,89,10,39,45,22,24,30,38,20,47,36
"ENSG00000163320",5459,5840,16335,8366,8590,6724,5802,7797,10654,8315,6679,5857,12326,4586,2085,11909,19967,9374,6042,6198
"ENSG00000229729",100,80,147,140,98,125,79,120,127,161,71,92,130,78,20,157,168,59,102,77
"ENSG00000241535",2,8,3,2,9,3,4,7,3,0,6,3,6,2,3,3,4,12,0,2
"ENSG00000175105",988,795,1282,1052,1304,1093,754,1047,1288,1302,950,831,1659,738,324,1656,2248,1416,942,913
"ENSG00000179021",433,536,850,744,741,469,546,596,553,1032,524,601,595,507,242,1077,979,1077,553,522
"ENSG00000242159",0,0,1,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000207316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242705",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000044524",3679,2954,1843,3274,1063,1178,2020,2248,1840,7049,1544,1377,2833,5165,397,2740,2705,1816,5940,2364
"ENSG00000240951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240309",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000212598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000189002",0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
"ENSG00000271024",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000184500",2781,3322,3195,4464,1579,2169,1626,2098,2949,2362,1368,1904,4319,2209,644,5819,2193,2422,2878,3344
"ENSG00000201339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169379",672,1020,672,968,686,747,640,800,758,1353,520,475,972,501,154,1615,914,1159,739,608
"ENSG00000239614",1,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,1,8,0,0
"ENSG00000178750",13,10,2,10,13,5,10,16,5,5,8,3,12,2,1,4,6,2,1,4
"ENSG00000178700",375,649,238,469,589,421,285,940,570,978,487,337,523,762,142,684,892,502,454,371
"ENSG00000178694",476,406,409,507,614,332,411,541,562,546,440,382,508,249,149,816,964,549,461,516
"ENSG00000242457",0,4,0,6,4,6,5,1,4,5,3,2,4,3,2,26,9,3,0,4
"ENSG00000253062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000178660",4,0,5,8,0,2,1,1,0,3,4,1,7,2,0,4,5,5,0,2
"ENSG00000242911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234629",0,0,2,2,2,0,0,0,0,0,1,0,5,0,2,0,1,0,0,0
"ENSG00000239589",0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244048",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000244681",19,12,6,0,6,0,1,2,2,0,4,0,0,0,0,1,1,3,5,5
"ENSG00000221477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243547",8,30,50,47,26,53,22,20,38,41,16,27,73,109,21,99,29,39,25,28
"ENSG00000216136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"ENSG00000199286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000269028",93,41,168,86,33,58,49,42,28,50,56,15,228,94,122,102,37,88,93,111
"ENSG00000218754",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000212031",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000241018",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000080224",40,32,51,53,21,35,54,42,30,135,70,12,99,58,2,91,20,117,49,13
"ENSG00000251172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261292",6,6,10,6,4,5,14,0,12,37,54,8,19,18,2,36,13,26,10,5
"ENSG00000113966",323,317,247,284,243,187,217,278,316,415,253,103,282,252,44,332,332,377,265,189
"ENSG00000233280",233,446,653,862,274,1661,986,797,729,1271,377,679,451,421,116,1346,489,190,203,216
"ENSG00000080200",710,1202,1640,1866,994,3463,1877,2517,2016,4275,896,1283,1371,1415,320,3833,1618,2075,789,752
"ENSG00000170854",1586,1927,3485,3004,2041,2704,2067,3794,3710,4949,1581,1994,1850,1540,477,4014,2984,6279,1445,1739
"ENSG00000183185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"ENSG00000250750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000196578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249321",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251088",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000187900",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000230301",0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0
"ENSG00000197938",0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,2,0,0,0
"ENSG00000232535",0,1,0,1,0,0,0,2,4,0,6,2,4,0,0,0,2,0,1,0
"ENSG00000196098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231861",16,10,34,13,19,4,9,11,16,9,5,4,3,4,0,17,25,6,11,1
"ENSG00000080822",3241,3726,3219,3835,4805,2493,2422,3611,3336,4306,2816,2364,4272,2336,1001,5865,6373,4388,4825,4029
"ENSG00000080819",1139,1096,1393,1121,1322,449,698,1549,1441,1414,1135,925,1163,856,277,989,2388,1505,1086,1217
"ENSG00000250562",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1,3
"ENSG00000248839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000154165",18,2,213,9,36,0,6,8,30,76,115,30,40,1,11,8,506,0,233,553
"ENSG00000240827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244153",0,0,2,10,0,1,1,0,2,2,0,0,12,0,3,2,0,4,0,0
"ENSG00000239445",18,33,2,13,5,16,24,38,7,37,8,7,13,23,3,36,8,46,21,28
"ENSG00000064225",1005,841,557,770,745,310,318,1291,661,816,680,368,435,612,199,1114,700,1013,507,592
"ENSG00000249274",18,22,24,9,10,5,10,45,11,8,21,19,11,10,3,8,12,8,12,7
"ENSG00000057019",2578,2984,2611,3618,2206,2313,1998,3870,2945,4839,2736,1868,3312,2604,711,5279,2954,4863,2230,1745
"ENSG00000206712",1,1,2,1,1,3,3,4,2,1,7,0,1,0,1,2,4,1,0,1
"ENSG00000239462",0,1,0,1,1,0,2,1,1,0,1,0,2,2,0,2,0,1,1,0
"ENSG00000207331",0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240476",0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,2,2,6,0
"ENSG00000241305",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000240572",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243296",1,1,0,2,2,1,3,2,0,0,2,0,0,0,3,0,2,1,0,0
"ENSG00000243089",2,0,0,3,2,4,4,3,5,0,3,0,3,4,1,7,4,0,0,0
"ENSG00000244464",12,2,0,16,0,0,2,0,1,2,6,0,2,0,0,7,0,6,2,0
"ENSG00000144810",2640,4700,3970,4841,1788,3621,5479,3873,2940,5370,2064,4197,6500,2467,1210,8458,2557,10406,3316,2684
"ENSG00000273374",75,19,146,18,94,25,16,107,118,34,104,23,158,46,7,45,277,18,82,77
"ENSG00000184220",501,728,520,753,577,566,409,719,533,694,435,531,640,616,186,1398,807,1004,661,673
"ENSG00000168386",3161,11533,1202,2732,2760,1018,1907,2110,2091,8738,1160,1269,3718,1579,1047,1856,3255,1298,7543,3228
"ENSG00000264897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261533",20,13,6,42,11,27,19,26,24,12,19,6,7,21,8,67,10,18,24,4
"ENSG00000235156",1,0,1,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0
"ENSG00000238377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243974",0,0,2,3,2,0,1,2,0,2,0,0,3,4,3,2,2,2,4,1
"ENSG00000036054",1797,1649,1946,2225,1921,1593,1179,1824,1988,2361,1438,1126,2577,1294,467,3567,3093,2618,1808,1785
"ENSG00000114021",2062,2773,942,3006,2623,2418,2183,3207,2301,2893,1628,1343,1648,1356,543,5402,2822,3948,1277,1636
"ENSG00000273488",37,62,22,121,62,96,102,85,47,53,25,37,31,28,11,154,57,125,39,13
"ENSG00000154174",2259,3297,2590,4562,2685,3381,2974,3507,3105,4574,2323,2371,4590,2403,770,7211,4309,5039,2321,2247
"ENSG00000206535",128,394,226,294,242,191,178,616,326,561,255,233,436,283,91,238,386,226,376,170
"ENSG00000181458",306,520,733,1183,390,402,691,323,881,553,386,1091,800,333,373,1527,457,1074,561,820
"ENSG00000144820",3,2,4,5,0,0,0,0,0,0,2,4,6,6,0,6,0,3,0,1
"ENSG00000252989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243495",0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"ENSG00000114354",4281,6887,5030,7688,6266,5062,4465,5288,5450,7880,3809,5330,5713,3910,1361,12615,7472,11430,3964,4043
"ENSG00000154175",6938,10887,4757,7786,4613,5099,7290,7883,5391,11757,12460,3349,14012,6737,1422,11078,9155,3115,8180,5452
"ENSG00000213431",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0
"ENSG00000201642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000081148",59,32,88,44,81,26,27,70,64,26,51,36,48,19,27,110,155,52,30,41
"ENSG00000138468",2318,2547,1844,2117,3283,2222,1892,4233,2623,3296,2582,1860,3745,1638,702,4282,5802,2705,2167,2186
"ENSG00000241738",16,21,3,4,12,0,1,9,7,1,4,5,4,2,1,4,8,4,5,4
"ENSG00000232830",0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,2,0,2,0,0
"ENSG00000201554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175841",0,2,0,0,17,0,2,7,18,4,8,2,3,0,2,0,33,2,0,7
"ENSG00000174173",270,389,377,867,556,676,546,467,509,666,451,546,519,510,165,1618,1036,1197,331,432
"ENSG00000081154",6114,7745,9586,7134,6711,5652,4680,7971,7046,11060,5774,4294,11853,6266,1289,12106,10911,9773,7860,7352
"ENSG00000242299",171,163,329,192,238,142,98,243,201,104,120,117,426,426,127,466,379,261,140,230
"ENSG00000243396",0,2,0,0,0,0,0,1,0,2,1,1,0,0,0,0,2,0,0,1
"ENSG00000252348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000066422",1196,1229,2114,1953,1869,1707,1290,1849,1883,2253,1537,1322,1731,1043,552,3254,3713,1844,1390,1406
"ENSG00000201121",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,1,0,0
"ENSG00000256628",127,167,117,228,227,180,127,192,194,231,80,135,128,147,43,308,195,285,131,82
"ENSG00000114391",18856,21783,35585,23182,25424,24598,15074,33873,27906,29936,17786,16199,34439,26924,5686,37289,39334,28606,18758,26200
"ENSG00000244119",825,376,287,133,653,321,253,771,585,486,507,111,984,298,93,578,1069,591,361,445
"ENSG00000182504",708,719,968,843,1141,505,495,1017,1116,1078,841,736,1042,471,250,1137,2011,771,647,613
